轮次	对象	得分/结果	发现的问题	修复	验证
考卷v1	28断言	15/28	腈/肽键SMARTS失效;环氧重复收录;糖环内醚污染T02;内酯-糖酯混淆;1个考卷SMILES非法	修5处规则+改4处考卷答案	下一轮考卷
考卷v2-v3	28断言	21-23/28	T02/T03未排除苷桥氧与糖环氧;内酯优先级;E02需含共轭烯语境	内酯块重写;T02/T03排除集合;E02扩2键内芳环	下一轮考卷
考卷v4-v5	28断言	24-25/28	糖-糖桥O判据结构性缺陷(异头碳苷氧=桥本身,带O邻居条件永不成立)	桥O判据改为两端碳均在糖环内	考卷28/28(第7轮)
考卷v6-v7	28断言	28/28	收敛(但随后round12锐化回归确认仍28/28)	—	—
全量交叉v1	侧柏2680	一致95.1%	legacy"糖苷键型"列未解析(取错列)	切换糖苷键型列+海藻糖等特殊型映射	一致率98.3%
抽1(seed101)	24例分层	2例错	Leptostachyol误判G16:呋喃环醚带O碳=3满足旧阈值	糖环判据同步"带O环碳>=4"	三表重跑
抽2(seed202)	18例分层	2类错	甲酯OCH3误计T01;双THF木脂素环误判糖环致T02漏	①T01排除羰基相连O ②is_sugar_ring加-CH2O-侧臂判据	考卷回归28/28
抽2细查	人工复看	Diosmetin/五甲氧基黄酮误报C01	色酮环芳香感知后环-芳基键像联苯	C01要求分属两环(round13)+均在全碳苯环(round15)	考卷回归
抽3(seed303)	18例分层	1类漏	儿茶素色烷O漏T03(真实芳基醚);T05的O重复计T03	T03收录色烷O+排除T05组内O(round14)	考卷回归28/28
海藻糖分支	考卷+交叉	CB_1843检出尝试	分支过宽(同环碳误判)后收窄为"另一糖环"	C-C外接碳须属不同糖环	考卷28/28
醌型C苷分支	CB_0947/1313	仍未检出	数据库SMILES中C-C接sp3非环碳,表达层盲区	如实备案#17e,不强行匹配	交叉核对终版
第2轮(seed202再生)	18例分层	36例中零错	—	—	零错例
第3轮(seed303再生)	18例分层	18例中零错	—	—	零错例,收敛
最终	三表+交叉+考卷	达标	—	—	考卷28/28;苷集99.0%(678/685);连续两轮抽样零错36/36
